;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
134;ANN;historical;1985-2014;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;-0.03101184944233637;1113.0449493633769;0.5746689126394244;-2.737874626101897;False
135;ANN;historical;1985-2014;KNMI;MPI-M-MPI-ESM-LR;RACMO22E;r1i1p1;v1;-0.09659038104086903;1193.8055749996445;-0.04405785315987032;0.7695231925842358;False
136;ANN;historical;1985-2014;KNMI;NCC-NorESM1-M;RACMO22E;r1i1p1;v1;-0.9252671933085139;1181.5995299240028;0.3299256505576409;1.9599295252001707;False
137;ANN;historical;1985-2014;MOHC;CNRM-CERFACS-CNRM-CM5;HadREM3-GA7-05;r1i1p1;v2;0.03279507434945117;1299.0331381227004;0.6699872211895581;0.914162930576891;False
138;ANN;historical;1985-2014;MOHC;ICHEC-EC-EARTH;HadREM3-GA7-05;r12i1p1;v1;-0.09656133828991642;1355.857162858917;0.37221189591082293;-1.231725871114162;False
139;ANN;historical;1985-2014;MOHC;MOHC-HadGEM2-ES;HadREM3-GA7-05;r1i1p1;v1;0.9021026951672866;1380.3744681179523;0.6226184944237616;1.6530897201678745;False
140;ANN;historical;1985-2014;MOHC;MPI-M-MPI-ESM-LR;HadREM3-GA7-05;r1i1p1;v1;1.060821328996326;1473.6672728866006;-0.06560757434942843;0.820195490090877;False
141;ANN;historical;1985-2014;MOHC;NCC-NorESM1-M;HadREM3-GA7-05;r1i1p1;v1;0.396671700743525;1488.9401799296359;0.38647188661713017;1.8248964363277564;False
142;ANN;historical;1985-2014;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.7164033457249275;1278.314830279705;0.8066914498141387;2.7818016888186268;True
143;ANN;historical;1985-2014;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.5641612453532048;1265.728350100021;0.7631854089219701;-1.956917185580204;False
144;ANN;historical;1985-2014;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;3.287296700743525;838.8415954176156;0.4039846654275152;-0.5472097986875721;False
145;ANN;historical;1985-2014;SMHI;CNRM-CERFACS-CNRM-CM5;RCA4;r1i1p1;v1;-1.2725604089218905;1135.7648571793918;0.3222874070632429;0.9807340545717839;True
146;ANN;historical;1985-2014;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.0395794609665359;1266.849333491024;0.37168912639401697;-0.37039325165441184;True
147;ANN;historical;1985-2014;SMHI;ICHEC-EC-EARTH;RCA4;r1i1p1;v1;-0.7264986059479384;1278.7392962128479;0.3560641263940738;0.36782446646713807;False
148;ANN;historical;1985-2014;SMHI;ICHEC-EC-EARTH;RCA4;r3i1p1;v1;-0.8155436802973668;1248.7667569662115;0.4273931226765626;1.2140306643385024;False
149;ANN;historical;1985-2014;SMHI;IPSL-IPSL-CM5A-MR;RCA4;r1i1p1;v1;-0.9987743959107434;1270.255549689651;1.493349210037195;12.56511984316728;True
150;ANN;historical;1985-2014;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.5611988847583689;1350.9181712224358;0.5685118494423591;2.1127128707572784;True
151;ANN;historical;1985-2014;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.25299721189594493;1331.9632816962815;-0.08300418215611671;0.5345942939278987;True
152;ANN;historical;1985-2014;SMHI;MPI-M-MPI-ESM-LR;RCA4;r2i1p1;v1;0.10821909851301825;1352.6967763512994;0.15058666356873118;0.18563087551256335;False
153;ANN;historical;1985-2014;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;0.1337476765799579;1327.0155494485646;0.12691682156133766;-0.2853740230496192;False
